"Reference","Year","Month","Season","bay_segment","Longitude","Latitude","ScoreNumTaxa","ScoreShannon","ScoreTaxaSelect","ScoreTaxaBenthic","ScoreNumGuilds","TBNI_Score"
"TBM1998010906",1998,1,"Winter","OTB",-82.720833,27.950333,2,2,0,0,5,18
"TBM1998010910",1998,1,"Winter","OTB",-82.684,27.922167,1,0,3,1,2,14
"TBM1998010912",1998,1,"Winter","OTB",-82.673667,27.917,0,0,0,0,0,0
"TBM1998010914",1998,1,"Winter","OTB",-82.6405,27.921167,2,4,0,2,2,20
"TBM1998010915",1998,1,"Winter","MTB",-82.4885,27.819167,4,7,3,4,5,46
"TBM1998010917",1998,1,"Winter","MTB",-82.488333,27.824167,2,3,3,2,2,24
"TBM1998010920",1998,1,"Winter","MTB",-82.4255,27.786333,5,2,7,3,8,50
"TBM1998010922",1998,1,"Winter","OTB",-82.5985,27.972167,0,0,0,0,0,0
"TBM1998010926",1998,1,"Winter","HB",-82.405333,27.862333,4,5,3,2,10,48
"TBM1998010928",1998,1,"Winter","HB",-82.424667,27.875667,1,0,0,1,2,8
"TBM1998010929",1998,1,"Winter","HB",-82.400833,27.8315,0,0,0,0,0,0
"TBM1998011202",1998,1,"Winter","MTB",-82.618833,27.848333,0,0,0,0,0,0
"TBM1998011502",1998,1,"Winter","LTB",-82.636167,27.548,2,6,0,2,5,30
"TBM1998012107",1998,1,"Winter","MTB",-82.581333,27.829167,2,3,0,1,5,22
"TBM1998012115",1998,1,"Winter","MTB",-82.622167,27.7795,3,6,3,3,5,40
"TBM1998012603",1998,1,"Winter","LTB",-82.5635,27.638833,2,4,0,2,5,26
"TBM1998021003",1998,2,"Winter","HB",-82.464167,27.937,3,1,7,2,8,42
"TBM1998021005",1998,2,"Winter","HB",-82.435833,27.8635,3,3,10,2,5,46
"TBM1998021104",1998,2,"Winter","LTB",-82.564667,27.631167,2,4,3,2,5,32
"TBM1998021201",1998,2,"Winter","MTB",-82.620667,27.847167,7,9,10,6,8,80
"TBM1998021202",1998,2,"Winter","OTB",-82.591833,27.859667,8,2,7,9,8,68
"TBM1998021203",1998,2,"Winter","OTB",-82.685833,28.029667,5,6,7,5,8,62
"TBM1998021204",1998,2,"Winter","OTB",-82.668333,28.0175,5,7,7,3,10,64
"TBM1998021205",1998,2,"Winter","OTB",-82.681833,27.917,7,9,10,6,8,80
"TBM1998021206",1998,2,"Winter","OTB",-82.7215,27.937833,6,9,10,4,8,74
"TBM1998021303",1998,2,"Winter","LTB",-82.709833,27.509,10,5,10,9,8,84
"TBM1998021304",1998,2,"Winter","LTB",-82.686667,27.5135,2,0,3,2,5,24
"TBM1998021305",1998,2,"Winter","LTB",-82.678833,27.517333,2,5,7,2,2,36
"TBM1998021703",1998,2,"Winter","MTB",-82.6205,27.708333,2,4,0,2,5,26
"TBM1998021704",1998,2,"Winter","LTB",-82.6735,27.6485,2,3,0,2,8,30
"TBM1998021705",1998,2,"Winter","LTB",-82.695333,27.632667,0,0,0,0,0,0
"TBM1998021903",1998,2,"Winter","OTB",-82.553167,27.8475,9,10,10,10,8,94
"TBM1998021904",1998,2,"Winter","OTB",-82.532333,27.885667,2,1,3,2,8,32
"TBM1998022015",1998,2,"Winter","MTB",-82.477167,27.729667,6,1,7,4,10,56
"TBM1998022501",1998,2,"Winter","MTB",-82.4245,27.787667,5,10,7,5,8,70
"TBM1998022503",1998,2,"Winter","MTB",-82.443167,27.763333,4,6,3,2,10,50
"TBM1998031003",1998,3,"Winter","HB",-82.4835,27.877333,9,3,10,8,10,80
"TBM1998031005",1998,3,"Winter","HB",-82.419333,27.891,3,4,7,2,8,48
"TBM1998031008",1998,3,"Winter","HB",-82.413833,27.893667,3,6,7,3,5,48
"TBM1998031304",1998,3,"Winter","OTB",-82.552667,27.8565,8,2,7,9,8,68
"TBM1998031306",1998,3,"Winter","OTB",-82.638167,27.893833,6,6,3,6,8,58
"TBM1998031307",1998,3,"Winter","LTB",-82.701,27.521167,5,3,10,4,8,60
"TBM1998031308",1998,3,"Winter","LTB",-82.691833,27.516333,2,6,7,2,5,44
"TBM1998031309",1998,3,"Winter","LTB",-82.694,27.527833,2,3,3,2,5,30
"TBM1998031603",1998,3,"Winter","LTB",-82.617333,27.585,3,2,7,2,8,44
"TBM1998031604",1998,3,"Winter","LTB",-82.572833,27.618667,1,0,0,1,2,8
"TBM1998031705",1998,3,"Winter","MTB",-82.4215,27.791667,3,5,7,3,2,40
"TBM1998031803",1998,3,"Winter","MTB",-82.623333,27.734,7,10,10,6,8,82
"TBM1998031805",1998,3,"Winter","MTB",-82.633,27.742,8,9,7,6,8,76
"TBM1998031808",1998,3,"Winter","MTB",-82.626167,27.749333,6,5,7,5,8,62
"TBM1998032301",1998,3,"Winter","MTB",-82.501667,27.718333,4,5,3,2,8,44
"TBM1998032402",1998,3,"Winter","OTB",-82.6215,27.988,2,4,0,1,5,24
"TBM1998032403",1998,3,"Winter","OTB",-82.654667,27.998333,2,6,3,3,8,44
"TBM1998032404",1998,3,"Winter","OTB",-82.653667,28.003333,3,5,3,4,8,46
"TBM1998032405",1998,3,"Winter","OTB",-82.690667,28.029333,6,5,7,6,8,64
"TBM1998040901",1998,4,"Spring","HB",-82.433333,27.938333,7,9,10,5,10,82
"TBM1998040904",1998,4,"Spring","HB",-82.419167,27.8455,10,9,10,10,10,98
"TBM1998041302",1998,4,"Spring","MTB",-82.481833,27.724333,2,6,7,3,3,42
"TBM1998041304",1998,4,"Spring","MTB",-82.45,27.759333,2,4,3,3,3,30
"TBM1998041306",1998,4,"Spring","MTB",-82.434167,27.7745,6,3,0,5,7,42
"TBM1998041402",1998,4,"Spring","MTB",-82.5165,27.7055,2,7,7,3,7,52
"TBM1998041407",1998,4,"Spring","LTB",-82.549833,27.603167,10,4,10,7,10,82
"TBM1998041501",1998,4,"Spring","OTB",-82.606667,27.983167,2,5,0,3,3,26
"TBM1998041503",1998,4,"Spring","OTB",-82.690333,27.97,3,8,0,4,0,30
"TBM1998041508",1998,4,"Spring","OTB",-82.684333,27.9165,1,1,0,0,3,10
"TBM1998041513",1998,4,"Spring","OTB",-82.673833,27.913833,3,8,7,4,7,58
"TBM1998041603",1998,4,"Spring","OTB",-82.554333,27.833167,0,0,0,0,0,0
"TBM1998041605",1998,4,"Spring","OTB",-82.5885,27.834,0,0,0,0,0,0
"TBM1998041609",1998,4,"Spring","OTB",-82.533,27.885667,9,10,10,9,7,90
"TBM1998041701",1998,4,"Spring","MTB",-82.631,27.754833,3,9,3,3,3,42
"TBM1998041703",1998,4,"Spring","MTB",-82.6345,27.743,8,2,10,5,10,70
"TBM1998042102",1998,4,"Spring","LTB",-82.618833,27.5685,0,0,0,0,0,0
"TBM1998050502",1998,5,"Spring","LTB",-82.723833,27.528833,1,5,3,1,3,26
"TBM1998051103",1998,5,"Spring","HB",-82.475167,27.928667,7,5,10,2,10,68
"TBM1998051105",1998,5,"Spring","HB",-82.481167,27.890667,2,1,0,1,5,18
"TBM1998051202",1998,5,"Spring","OTB",-82.635833,27.997667,5,10,3,6,7,62
"TBM1998051205",1998,5,"Spring","OTB",-82.656333,27.912167,2,6,3,3,3,34
"TBM1998051206",1998,5,"Spring","OTB",-82.660333,27.912167,5,7,10,5,7,68
"TBM1998051301",1998,5,"Spring","OTB",-82.533667,27.898167,10,4,7,9,7,74
"TBM1998051302",1998,5,"Spring","OTB",-82.537,27.9325,2,5,0,3,3,26
"TBM1998051305",1998,5,"Spring","MTB",-82.582667,27.828333,2,3,0,3,3,22
"TBM1998051306",1998,5,"Spring","MTB",-82.608167,27.8045,9,10,10,8,7,88
"TBM1998051901",1998,5,"Spring","MTB",-82.479167,27.739167,4,9,7,5,3,56
"TBM1998051902",1998,5,"Spring","MTB",-82.461333,27.7475,6,8,10,6,3,66
"TBM1998051905",1998,5,"Spring","HB",-82.438667,27.8225,2,4,3,2,5,32
"TBM1998052007",1998,5,"Spring","LTB",-82.608833,27.575167,4,10,3,3,7,54
"TBM1998052101",1998,5,"Spring","MTB",-82.617833,27.714167,8,1,3,9,7,56
"TBM1998052102",1998,5,"Spring","LTB",-82.645,27.689667,0,0,0,0,0,0
"TBM1998052202",1998,5,"Spring","LTB",-82.581667,27.5905,10,8,10,8,10,92
"TBM1998052203",1998,5,"Spring","LTB",-82.5655,27.6225,6,10,7,6,7,72
"TBM1998052605",1998,5,"Spring","LTB",-82.695833,27.635333,0,0,0,0,0,0
"TBM1998061001",1998,6,"Summer","HB",-82.4885,27.909167,2,6,2,2,3,30
"TBM1998061003",1998,6,"Summer","HB",-82.479333,27.924833,3,7,5,1,3,38
"TBM1998061005",1998,6,"Summer","HB",-82.406333,27.8725,4,7,8,5,7,62
"TBM1998061102",1998,6,"Summer","MTB",-82.4195,27.792833,4,6,5,3,7,50
"TBM1998061104",1998,6,"Summer","MTB",-82.495,27.823667,6,7,8,6,7,68
"TBM1998061201",1998,6,"Summer","LTB",-82.6345,27.5525,7,10,0,9,7,66
"TBM1998061202",1998,6,"Summer","LTB",-82.635833,27.552,0,0,0,0,0,0
"TBM1998061501",1998,6,"Summer","OTB",-82.607833,27.987833,5,0,8,5,7,50
"TBM1998061503",1998,6,"Summer","OTB",-82.6335,27.995,5,7,5,4,3,48
"TBM1998061505",1998,6,"Summer","OTB",-82.680333,27.997,6,6,2,5,10,58
"TBM1998061506",1998,6,"Summer","OTB",-82.682833,27.990167,4,5,5,3,3,40
"TBM1998061604",1998,6,"Summer","LTB",-82.677833,27.650333,5,3,3,5,7,46
"TBM1998061605",1998,6,"Summer","LTB",-82.6865,27.652333,6,3,10,8,7,68
"TBM1998061805",1998,6,"Summer","OTB",-82.593333,27.847833,9,7,8,9,10,86
"TBM1998061808",1998,6,"Summer","MTB",-82.598,27.8125,9,3,2,8,7,58
"TBM1998061810",1998,6,"Summer","MTB",-82.599667,27.796333,4,9,2,4,7,52
"TBM1998061901",1998,6,"Summer","OTB",-82.539667,27.87,6,10,5,6,10,74
"TBM1998061905",1998,6,"Summer","OTB",-82.535833,27.904167,9,3,5,9,7,66
"TBM1998062202",1998,6,"Summer","MTB",-82.549333,27.654333,3,4,2,4,7,40
"TBM1998070702",1998,7,"Summer","HB",-82.403,27.813667,3,8,0,4,0,30
"TBM1998070901",1998,7,"Summer","LTB",-82.673,27.522,1,4,3,1,3,24
"TBM1998070903",1998,7,"Summer","LTB",-82.628667,27.5595,2,6,0,2,3,26
"TBM1998070905",1998,7,"Summer","LTB",-82.601333,27.567167,10,8,10,10,10,96
"TBM1998071002",1998,7,"Summer","HB",-82.4195,27.941333,0,0,0,0,0,0
"TBM1998071312",1998,7,"Summer","HB",-82.396167,27.831167,10,10,10,10,7,94
"TBM1998071316",1998,7,"Summer","HB",-82.489667,27.909167,10,7,8,10,10,90
"TBM1998071404",1998,7,"Summer","MTB",-82.5015,27.717333,5,6,5,6,7,58
"TBM1998071406",1998,7,"Summer","LTB",-82.5535,27.6035,3,4,0,2,7,32
"TBM1998071409",1998,7,"Summer","LTB",-82.593667,27.6025,3,6,0,3,3,30
"TBM1998071411",1998,7,"Summer","LTB",-82.572667,27.632,6,5,3,7,7,56
"TBM1998071607",1998,7,"Summer","LTB",-82.6695,27.676333,3,8,10,3,7,62
"TBM1998071704",1998,7,"Summer","OTB",-82.5435,27.843667,2,5,2,2,3,28
"TBM1998071705",1998,7,"Summer","OTB",-82.540167,27.864,6,5,0,6,7,48
"TBM1998072101",1998,7,"Summer","OTB",-82.593833,27.871333,4,3,2,4,7,40
"TBM1998072102",1998,7,"Summer","OTB",-82.5955,27.8645,7,10,8,8,10,86
"TBM1998072105",1998,7,"Summer","OTB",-82.681333,27.917333,8,10,8,9,7,84
"TBM1998072202",1998,7,"Summer","OTB",-82.654167,28.003333,9,8,10,10,10,94
"TBM1998072204",1998,7,"Summer","OTB",-82.669167,28.030167,2,6,5,3,3,38
"TBM1998072205",1998,7,"Summer","OTB",-82.688667,27.96,8,8,10,7,10,86
"TBM1998072206",1998,7,"Summer","OTB",-82.572667,27.962833,8,10,8,8,7,82
"TBM1998081207",1998,8,"Summer","LTB",-82.687167,27.511167,5,7,3,3,10,56
"TBM1998081210",1998,8,"Summer","LTB",-82.682,27.5145,2,5,7,2,7,46
"TBM1998081303",1998,8,"Summer","OTB",-82.643167,27.91,5,6,2,3,10,52
"TBM1998081403",1998,8,"Summer","HB",-82.472667,27.848833,0,0,2,0,0,4
"TBM1998081404",1998,8,"Summer","HB",-82.485833,27.897667,1,5,2,2,3,26
"TBM1998081405",1998,8,"Summer","HB",-82.476333,27.929,8,10,10,10,7,90
"TBM1998081701",1998,8,"Summer","OTB",-82.7225,27.95,5,8,8,5,10,72
"TBM1998081703",1998,8,"Summer","OTB",-82.695,27.960833,8,10,8,7,10,86
"TBM1998081708",1998,8,"Summer","OTB",-82.549167,27.960833,6,5,5,5,7,56
"TBM1998081715",1998,8,"Summer","OTB",-82.661,27.997833,5,9,2,5,10,62
"TBM1998081803",1998,8,"Summer","LTB",-82.633333,27.550833,2,6,3,3,3,34
"TBM1998081804",1998,8,"Summer","LTB",-82.6325,27.553833,2,7,3,2,7,42
"TBM1998081902",1998,8,"Summer","MTB",-82.599167,27.7985,7,10,8,9,7,82
