"Reference","Project_1","Project_2","Project_3","Sampling_Date","Latitude","Longitude","Zone","Grid","Stratum","effort","Species_record_id","NODCCODE","Scientificname","Commonname","Splittype","Splitlevel","Cells","Number"
"TBM1998010906","AM",". ",". ","1998-01-09",27.950333,-82.720833,"A",31,"B",1.4,1,"8747020202","Anchoa mitchilli","Bay Anchovy","."," .",NA,3
"TBM1998010906","AM",". ",". ","1998-01-09",27.950333,-82.720833,"A",31,"B",1.4,2,"8747020202","Anchoa mitchilli","Bay Anchovy","."," .",NA,12
"TBM1998010906","AM",". ",". ","1998-01-09",27.950333,-82.720833,"A",31,"B",1.4,3,"8805030300","Menidia spp.","New World silversides","."," .",NA,2
"TBM1998010910","AM",". ",". ","1998-01-09",27.922167,-82.684,"A",62,"B",1.4,1,"6177010102","Farfantepenaeus duorarum","Pink Shrimp","."," .",NA,1
"TBM1998010912","AM",". ",". ","1998-01-09",27.917,-82.673667,"A",63,"B",1.4,1,"9998000000","No fish","No fish","."," .",NA,0
"TBM1998010914","AM",". ",". ","1998-01-09",27.921167,-82.6405,"A",65,"B",1.4,1,"8820020113","Syngnathus scovelli","Gulf Pipefish","."," .",NA,1
"TBM1998010914","AM",". ",". ","1998-01-09",27.921167,-82.6405,"A",65,"B",1.4,2,"8826020104","Prionotus tribulus","Bighead Searobin","."," .",NA,1
"TBM1998010915","AM",". ",". ","1998-01-09",27.819167,-82.4885,"C",162,"B",1.4,1,"8804040101","Cyprinodon variegatus","Sheepshead Minnow","."," .",NA,1
"TBM1998010915","AM",". ",". ","1998-01-09",27.819167,-82.4885,"C",162,"B",1.4,2,"8804040501","Floridichthys carpio","Goldspotted Killifish","."," .",NA,5
"TBM1998010915","AM",". ",". ","1998-01-09",27.819167,-82.4885,"C",162,"B",1.4,3,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,1
"TBM1998010915","AM",". ",". ","1998-01-09",27.819167,-82.4885,"C",162,"B",1.4,4,"8835440401","Leiostomus xanthurus","Spot","."," .",NA,4
"TBM1998010917","AM",". ",". ","1998-01-09",27.824167,-82.488333,"C",162,"S",1.4,1,"8804040501","Floridichthys carpio","Goldspotted Killifish","."," .",NA,1
"TBM1998010917","AM",". ",". ","1998-01-09",27.824167,-82.488333,"C",162,"S",1.4,2,"8835440401","Leiostomus xanthurus","Spot","."," .",NA,4
"TBM1998010920","AM",". ",". ","1998-01-09",27.786333,-82.4255,"C",203,"S",1.4,1,"8747020202","Anchoa mitchilli","Bay Anchovy","."," .",NA,2
"TBM1998010920","AM",". ",". ","1998-01-09",27.786333,-82.4255,"C",203,"S",1.4,2,"8835390102","Eucinostomus gula","Silver Jenny","."," .",NA,1
"TBM1998010920","AM",". ",". ","1998-01-09",27.786333,-82.4255,"C",203,"S",1.4,3,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,1
"TBM1998010920","AM",". ",". ","1998-01-09",27.786333,-82.4255,"C",203,"S",1.4,4,"8835440401","Leiostomus xanthurus","Spot","."," .",NA,20
"TBM1998010920","AM",". ",". ","1998-01-09",27.786333,-82.4255,"C",203,"S",1.4,5,"8835440401","Leiostomus xanthurus","Spot","."," .",NA,30
"TBM1998010920","AM",". ",". ","1998-01-09",27.786333,-82.4255,"C",203,"S",1.4,6,"8836010101","Mugil cephalus","Striped Mullet","."," .",NA,1
"TBM1998010922","AM",". ",". ","1998-01-09",27.972167,-82.5985,"A",28,"S",1.4,1,"9998000000","No fish","No fish","."," .",NA,0
